QuestionNumber,ToReplace,ReplaceWith,TypeOfReplacement,AddedBy,
Question 1027,temperature,temperatures,plural,MH,
Question 1029,areas,area,plural,MH,
Question 1029,hill,hills,plural,MH,
Question 1029,lands,land,plural,MH,
Question 1032,baggette,bagguette,typo,MH,
Question 1035,seperately,separately ,typo,MH,
Question 1035,cheaply,cheap,tense,MH,
Question 1036,mountaintp,mountaintop,typo,MH,
Question 1036,mountains,mountain,typo,MH,
Question 1040,rath,wrath,typo,MH,
Question 1040,punnishment,punishment,typo,MH,
Question 1040,wraith,wrath,typo,MH,
Question 1041,cotq,cot,typo,MH,
Question 1041,matress,mattress,typo,MH,
Question 1041,tend,tent,typo,MH,
Question 1042,craft,candles,plural,AZ,
Question 1043,thief,thieves,plural,AZ,
Question 1046,wain,wane,typo,AZ,
Question 1052,a minute, minute,typo,AZ,
Question 1053,pens,pen,plural,AZ,
Question 1054,levy,levee,typo,AZ,
Question 1054,walls,wall,plural,AZ,
Question 1054,dikes,dike,plural,AZ,
Question 1054,damn,dam,typo,AZ,
Question 1054,levies,levees,typo,AZ,
Question 1054,levees,levee,plural,AZ,
Question 1055,saloon,salon,typo,AZ,
Question 1056,burns,burn,plural,AZ,
Question 1056,chile,chill,typo,AZ,
Question 1056,rashes,rash,plural,AZ,
Question 1056,chil,chill,typo,AZ,
Question 1057,pieces,piece,plural,AZ,
Question 1057,pawns,pawn,plural,AZ,
Question 1057,opponet,opponent,typo,AZ,
Question 1062,cired,cried,typo,AZ,
Question 1063,cars,car,plural,AZ,
Question 1066,dagerous,dangerous,typo,AZ,
Question 1067,balls,ball,plural,AZ,
Question 1068,sylish,stylish,typo,AZ,
Question 1070,10,ten,typo,AZ,
Question 1070,100,one hundred,typo,AZ,
Question 1070,20,twenty,typo,AZ,
Question 1070,4,four,typo,AZ,
Question 1070,2,two,typo,AZ,
Question 1071,noise,noises,plural,AZ,
Question 1072,insaine,insane,typo,AZ,
Question 1073,shelves,shelf,plural,AZ,
Question 1073,shelve,shelf,typo,AZ,
Question 1077,glove,gloves,plural,AZ,
Question 1077,tools,tool,plural,AZ,
Question 1079,toliet,toilet,typo,AZ,
Question 1080,auhentic,authentic,typo,AZ,
Question 1081,snader,sander,typo,AZ,
Question 1081,sandere,sander,typo,AZ,
Question 1086,penn,pen,typo,AZ,
Question 1087,trees,tree,plural,AZ,
Question 1087,doors,door,plural,AZ,
Question 1089,ingrediants,ingredients,typo,AZ,
Question 1090,hive,hives,plural,AZ,
Question 1096,knott,knot,typo,AZ,
Question 1098,loins ,loin,plural,AZ,
Question 1098,tenderloins,tenderloin,plural,AZ,
Question 1098,rib,ribs,plural,AZ,
Question 1098,bellies,belly,plural,AZ,
Question 1098,sausages,sausage,plural,AZ,
Question 1098,rhinds,rinds,typo,AZ,
Question 1099,rack,racks,plural,AZ,
Question 1099,shelf,shelves,plural,AZ,
Question 1100,competiton,competition,typo,BM,
Question 1101,wit,wits,plural,BM,
Question 1101,brains,brain,plural,BM,
Question 1101,brian,brain,typo,BM,
Question 1104,war,wars,plural,BM,
Question 1104,tensions,tension,plural,BM,
Question 1104,divde,divide,typo,BM,
Question 1106,shirts,shirt,plural,BM,
Question 1110,pillows,pillow,plural,BM,
Question 1113,sticks,stick,plural,BM,
Question 1113,rocks,rock,plural,BM,
Question 1113,cracks,crack,plural,BM,
Question 1115,bilk,milk,typo,BM,
Question 1117,sensative,sensitive,typo,BM,
Question 1117,senstive,sensitive,typo,BM,
Question 1119,rosey,rosy,typo,BM,
Question 1120,reign,rein,typo,BM,
Question 1120,reins,rein,plural,BM,
Question 1123,meany,meanie,typo,BM,
Question 1124,bath,bathe,typo,BM,
Question 1126,clear,cleared,tense,BM,
Question 1129,rythm,rhythm,typo,BM,
Question 1129,palpitation,palpitations,plural,BM,
Question 1129,rythms,rhythm,typo,BM,
Question 1131,puch,push,typo,BM,
Question 1134,lair,liar,typo,BM,
Question 1136,sails,sail,plural,BM,
Question 1136,rope,ropes,plural,BM,
Question 1137,winds,wind,plural,BM,
Question 1137,seas,sea,plural,BM,
Question 1137,sails,sail,plural,BM,
Question 1139,gaol,goal,typo,BM,
Question 1141,lite,lit,typo,BM,
Question 1142,disater,disaster,typo,BM,
Question 1142,diaster,disaster,typo,BM,
Question 1142,m ss,mess,typo,BM,
Question 1144,bird,birds,plural,BM,
Question 1145,gills,gill,plural,BM,
Question 1145,gil,gill,typo,BM,
Question 1145,lungs,lung,plural,BM,
Question 1146,croon,crone,typo,BM,
Question 1146,women,woman,plural,BM,
Question 1148,sweaters,sweater,plural,BM,
Question 1149,ingury,injury,typo,BM,
Question 1149,half time,halftime,typo,BM,
Question 1149,time-out,timeout,typo,BM,
Question 1150,honking ,honk,tense,MH,
Question 1150,backfiring,backfire,tense,MH,
Question 1150,crashing,crash,tense,MH,
Question 1151,survuve,survive,typo,MH,
Question 1156,rocks,rock,plural,MH,
Question 1158,softa,sofa,typo,MH,
Question 1158,coach,couch,typo,MH,
Question 1160,penicl,pencil,typo,MH,
Question 1162,woke,awoke,typo,MH,
Question 1162,awoken,awoke,tense,MH,
Question 1162,woke up,awoke,typo,MH,
Question 1164,sigh,sign,typo,MH,
Question 1166,badges,badge,plural,MH,
Question 1168,baths,bath,plural,MH,
Question 1168,bathe,bath,tense,MH,
Question 1171,bones,bone,plural,MH,
Question 1171,marshmellows,marshmallows,typo,MH,
Question 1175,knitt,knit,typo,MH,
Question 1175,kint,knit,typo,MH,
Question 1176,appaling,appalling,typo,MH,
Question 1176,appauling,appalling,typo,MH,
Question 1176,unbareable,unbearable ,typo,MH,
Question 1176,intollerable,intolerable,typo,MH,
Question 1176,dispicable,despicable,typo,MH,
Question 1176,gorse,gross,typo,MH,
Question 1178,turns,turn,plural,MH,
Question 1178,curves,curve,plural,MH,
Question 1180,robe',robe,typo,MH,
Question 1182,fears,fear,plural,MH,
Question 1182,jelousy,jealousy,typo,MH,
Question 1183,painting ,paint,tense,MH,
Question 1182,paintjob,paint job,typo,MH,
Question 1188,pilage,pillage,typo,MH,
Question 1189,wellbeing,well-being,typo,MH,
Question 1190,restauraunt,restaurant,typo,MH,
Question 1190,restauran,restaurant,typo,MH,
Question 1190,resturant,restaurant,typo,MH,
Question 1190,restaraunt,restaurant,typo,MH,
Question 1193,mayonaise,mayonnaise,typo,MH,
Question 1193,mayonaisse,mayonnaise,typo,MH,
Question 1193,grav,gravy,typo,MH,
Question 1195,caraffe,carafe,typo,MH,
Question 1195,thermus,thurmos,typo,MH,
Question 1197,tree,trees,plural,MH,
Question 1200,wealthest,wealthiest,typo,MH,
Question 1201,apparation,apparition,typo,MH,
Question 1201,ghosts,ghost,plural,MH,
Question 1201,spirits,spirit,plural,MH,
Question 1204,arms,arm,plural,MH,
Question 1204,hing,hinge,typo,MH,
Question 1206,immensly,immensely,typo,MH,
Question 1207,wiwne,wine,typo,MH,
Question 1207,wiskey,whiskey,typo,MH,
Question 1207,whisky,whiskey,typo,MH,
Question 1209,easle,easel,typo,MH,
Question 1209,pallette,palette,typo,MH,
Question 1209,brushes,brush,plural,MH,
Question 1209,colors,color,plural,MH,
Question 1212,boyd,body,typo,MH,
Question 1212,fin,fins,plural,MH,
Question 1214,omlette,omelet,typo,MH,
Question 1218,paints,paint,plural,MH,
Question 1219,howling,howl,tense,MH,
Question 1220,suncreen,sunscreen,typo,MH,
Question 1223,posess,possess,typo,MH,
Question 1223,exibit,exhibit,typo,MH,
Question 1223,poses,possess,typo,MH,
Question 1224,gmo's ,gmos,typo,MH,
Question 1225,buffed,buff,typo,MH,
Question 1228,omolette,omelet,typo,MH,
Question 1228,dishes,dish,plural,MH,
Question 1229,gray,grey,typo,MH,
Question 1230,pose,poise,typo,MH,
Question 1231,sisters,sister,plural,MH,
Question 1231,brothers,brother,plural,MH,
Question 1235,cotten,cotton ,typo,MH,
Question 1236,asprin,aspirin,typo,MH,
Question 1237,araigned,arraigned,typo,MH,
Question 1237,we'd,wed,typo,MH,
Question 1240,rocks,rocks,plural,MH,
Question 1240,sharks,shark,plural,MH,
Question 1241,sooth,soothe,typo,MH,
Question 1245,outlow,outlaw,typo,MH,
Question 1245,price,prince,typo,MH,
Question 1246,tomatoe,tomatoes,plural,MH,
Question 1246,tomoato,tomatoes,typo,MH,
Question 1246,pumpkins,pumpkin,plural,MH,
Question 1246,cows,cow,plural,MH,
Question 1247,over due,overdue,typo,MH,
Question 1248,leevee,levee,typo,MH,
Question 1248,pipes,pipe,plural,MH,
Question 1248,sewers,sewer,plural,MH,
Question 1248,dike,dyke,typo,MH,
Question 1250,champions,champion ,plural,MH,
Question 1251,breathe,breath,typo,BM,
Question 1253,bushes,bush,plural,BM,
Questino 1253,bish,bush,typo,BM,
Question 1255,diddy,ditty,typo,BM,
Question 1255,gig,jig,typo,BM,
Question 1259,complaints,complaint,typo,BM,
Question 1259,atttitude,attitude,typo,BM,
Question 1259,remarks,remark,plural,BM,
Question 1259,demand,demands,plural,BM,
Question 1262,fasion,fashion,typo,BM,
Question 1263,churp,chirp,typo,BM,
Question 1265,failed,fail,tense,BM,
Question 1268,sails,sail,plural,BM,
Question 1270,pieces,piece,plural,BM,
Question 1271,girl,girls,plural,BM,
Question 1271,woman,women,plural,BM,
Question 1271,guys,guy,plural,BM,
Question 1271,lady,ladies,plural,BM,
Question 1272,lakes,lake,plural,BM,
Question 1273,mosturize,moisturize,typo,BM,
Question 1273,weightlifting,weightlift,tense,BM,
Question 1275,burned,burnt,typo,BM,
Question 1277,person,people,plural,BM,
Question 1277,woman,women,plural,BM,
Question 1277,man,men,plural,BM,
Question 1278,moths,moth,plural,BM,
Question 1278,mous3,mouse,typo,BM,
Question 1281,ghost,ghosts,plural,BM,
Question 1283,batteries,battery,plural,BM,
Question 1284,earplugs,earplug,plural,BM,
Question 1284,earmuffs,earmuff,plural,BM,
Question 1286,collar bone,collarbone,typo,BM,
Question 1286,ear,ears,plural,BM,
Question 1290,ghosts,ghost,plural,BM,
Question 1290,spiril,spirit,typo,BM,
Question 1292,farse,farce,typo,BM,
Question 1292,fraude,fraud,typo,BM,
Question 1292,haux,hoax,typo,BM,
Question 1294,chruch,church,typo,BM,
Question 1295,digged,dug,typo,BM,
Question 1295,build,built,tense,BM,
Question 1299,peeling,peel,tense,BM,
Question 1303,tool,tools,plural,BM,
Question 1305,goats,goat,plural,BM,
Question 1305,ducks,duck,plural,BM,
Question 1305,lambs,lamb,plural,BM,
Question 1305,cows,cow,plural,BM,
Question 1306,circles,circle,plural,BM,
Question 1306,lines,line,plural,BM,
Question 1306,circlr,circle,typo,BM,
Question 1306,figures,figure,plural,BM,
Question 1308,melting,melted,tense,BM,
Question 1310,homebase,home base,typo,BM,
Question 1314,runnerup,runner-up,typo,BM,
Question 1314,1st,first,typo,BM,
Question 1316,failed,failing,tense,BM,
Question 1316,disiplined,disciplined,typo,BM,
Question 1320,i.d,id,typo,BM,
Question 1322,bag`,bag,typo,BM,
Questino 1322,baskeet,basket,typo,BM,
Question 1322,suicase,suitcase,typo,BM,
Question 1323,stoller,stroller,typo,BM,
Question 1325,miles,mile,plural,BM,
Question 1328,whisky,whiskey,typo,BM,
Quesrion 1329,sooth,soothe,typo,BM,
Question 1329,smooth it,soothe it,typo,BM,
Question 1330,adult,adults,plural,BM,
Question 1331,holstien,holstein,typo,BM,
Question 1333,step,steps,plural,BM,
Question 1336,few`,few,typo,BM,
Question 1340,tyme,thyme,typo,BM,
Question 1340,chesse,cheese,typo,BM,
Question 1341,pet-peeve,pet peeve,typo,BM,
Question 1341,petpeeve,pet peeve,typo,BM,
Question 1341,petpeave,pet peeve,typo,BM,
Question 1345,conartist,con artist,typo,BM,
Question 1345,theif,thief,typo,BM,
Question 1349,kane,cane,typo,BM,
Question 1350,roap,rope,typo,MH,
Question 1350,tope,rope,typo,MH,
Question 1351,stronger,strong,tense,MH,
Question 1351,bigger,big,tense,MH,
Question 1353,poo,poop,typo,MH,
Question 1353,dog poo,dog poop,typo,MH,
Question 1354,wimper,whimper,typo,MH,
Question 1355,beet,beets,plural,MH,
Question 1357,robes,robe,plural,MH,
Question 1357,rove,robe,typo,MH,
Question 1358,scratcher,scratch,tense,MH,
Question 1358,massager ,massage,tense,MH,
Question 1359,invitiation,invitation,typo,MH,
Question 1361,koolaid,kool-aid,typo,MH,
Question 1362,ceromoniers,ceremony,typo,MH,
Question 1362,deciet,deceit,typo,MH,
Question 1362,jokes,joke,plural,MH,
Question 1362,arts,art,plural,MH,
Question 1362,laughs,laughter,tense,MH,
Question 1365,watcvh,watch,typo,MH,
Question 1366,tools,tool,plural,MH,
Question 1367,theif,thief,typo,MH,
Question 1367,workre,worker,typo,MH,
Question 1367,burgler,burglar,typo,MH,
Question 1367,burgular,burglar,typo,MH,
Question 1373,liet,lit,typo,MH,
Question 1373,broke,broken,tense,MH,
Question 1373,themometer,thermometer,typo,MH,
Question 1376,expenses,expense,plural,MH,
Question 1376,costs,cost,plural,MH,
Question 1379,cougth,cough,typo,MH,
Question 1380,lights,light,plural,MH,
Question 1381,prepara,prepare,typo,MH,
Question 1382,diferent,different,typo,MH,
Question 1383,welts,welt,plural,MH,
Question 1384,film,films,plural,MH,
Question 1384,movie,movies,plural,MH,
Question 1389,msut,must,typo,MH,
Question 1394,windows,window,plural,MH,
Question 1395,canp,camp,typo,MH,
Question 1396,fillie,filly,typo,MH,
Question 1397,strides,stride,plural,MH,
Question 1399,sign,signs,plural,MH,
Question 1399,light,lights,plural,MH,
Question 1399,corners,corner,plural,MH,
Question 1399,car,cars,plural,MH,
Question 1400,rennisance ,renaissance,typo,MH,
Question 1400,troubador,troubadours,typo,MH,
Question 1400,minstrals,minstrel,typo,MH,
Question 1400,harps,harp,plural,MH,
Question 1400,bands,band,plural,MH,
Question 1400,lutes,lute,plural,MH,
Question 1404,huose,house,typo,MH,
Question 1406,fell,fall,tense,MH,
Question 1411,bales,bale,plural,MH,
Question 1413,pic,pick,typo,MH,
Question 1419,puch,pouch,typo,MH,
Question 1419,pouches,pouch,plural,MH,
Question 1419,mouths,mouth,plural,MH,
Question 1421,beatle,beetle,typo,MH,
Question 1426,tatoo,tattoo,typo,MH,
Question 1428,blisters,blister,plural,MH,
Question 1428,corns,corn,plural,MH,
Question 1428,aches,ache,plural,MH,
Question 1430,wall paper,wallpaper,typo,MH,
Question 1430,flower,flowers,plural,MH,
Question 1430,colors,color,plural,MH,
Question 1430,picture,pictures,plural,MH,
Question 1430,lamp,lamps,plural,MH,
Question 1430,painting,paintings,plural,MH,
Question 1433,waken,awaken,typo,MH,
Question 1433,awake,awaken,tense,MH,
Question 1436,arguement,argument,typo,MH,
Question 1436,fued,feud,typo,MH,
Question 1436,tift,tiff,typo,MH,
Question 1436,disagreements,disagreement,plural,MH,
Question 1436,spats,spat,plural,MH,
Question 1439,fighting,fight,tense,MH,
Question 1441,rearend,rear end,typo,MH,
Question 1442,crying,cry,tense,MH,
Question 1443,pockets,pocket,plural,MH,
Question 1443,sleeves,sleeve,plural,MH,
Question 1444,build,built,tense,MH,
Question 1445,meany,meanie,typo,MH,
Question 1446,guid,guide,typo,MH,
Question 1447,ry,cry,typo,MH,
Question 1449,squeek,squeak,typo,MH,
Question 1449,grut,grunt,typo,MH,
Question 1450,beac,beach,typo,BM,
Question 1452,pshyco,psycho,typo,BM,
Question 1453,spice,splices,plural,BM,
Question 1453,tyme,thyme,typo,BM,
Question 1453,cinammon,cinnamon,typo,BM,
Question 1453,paprica,paprika,typo,BM,
Question 1455,diamon,diamond,typo,BM,
Question 1455,stars,star,plural,BM,
Question 1457,pears,pear,plural,BM,
Question 1457,apples,apple,plural,BM,
Question 1457,candies,candy,plural,BM,
Question 1457,avacado,avocado,typo,BM,
Question 1457,fruits,fruit,plural,BM,
Question 1457,berries,berry,plural,BM,
Question 1457,treats,treat,plural,BM,
Question 1457,delicacies,delicacy,plural,BM,
Question 1460,theif,thief,typo,BM,
Question 1460,asshat`,asshat,typo,BM,
Question 1460,fruad,fraud,typo,BM,
Question 1462,gloves,glove,plural,BM,
Question 1462,mittens,mitten,plural,BM,
Question 1466,ludacris,ludicrous,typo,BM,
Question 1466,lucridous,lucrative,typo,BM,
Question 1466,far fetched,far-fetched,typo,BM,
Question 1470,knit,knitted,tense,BM,
Question 1472,bak,bake,typo,BM,
Question 1474,crop,crops,plural,BM,
Question 1474,fruit,fruits,plural,BM,
Question 1474,vegetable,vegetables,plural,BM,
Question 1474,pig,pigs,plural,BM,
Question 1474,cow,cows,plural,BM,
Question 1475,sleepingbag,sleeping bag,typo,AZ,
Question 1475,matteress,mattress,typo,AZ,
Question 1476,be tested,test,tense,AZ,
Question 1477,ligher,light,tense,AZ,
Question 1479,hosue,house,typo,AZ,
Question 1482,towl,towel,typo,AZ,
Question 1483,solider,soldier,typo,AZ,
Question 1483,soilder,soldier,typo,AZ,
Question 1486,4,four,typo,AZ,
Question 1486,2,two,typo,AZ,
Question 1486,7,seven,typo,AZ,
Question 1486,6,six,typo,AZ,
Question 1486,10,ten,typo,AZ,
Question 1486,8,eight,typo,AZ,
Question 1489,bit,bitten,tense,AZ,
Question 1489,bite,bitten,tense,AZ,
Question 1490,teidious,tedious,typo,AZ,
Question 1490,die,due,typo,AZ,
Question 1491,knose,nose,typo,AZ,
Question 1492,rags,rag,plural,AZ,
Question 1492,sponges,sponge,plural,AZ,
Question 1494,bare,bear,typo,AZ,
Question 1496,cannister,canister,typo,AZ,
Question 1501,windsill,windowsill,typo,AZ,
Question 1502,nosed,nose,typo,AZ,
Question 1504,soultion,solution,typo,AZ,
Question 1507,solice,solace,typo,AZ,
Question 1511,burned,burnt,typo,AZ,
Question 1513,lines,line,plural,AZ,
Question 1513,pages,page,plural,AZ,
Question 1513,ceremy,ceremony,typo,AZ,
Question 1518,lite,lit,typo,AZ,
Question 1518,light,lit,tense,AZ,
Question 1518,lighted,lit,tense,AZ,
Question 1520,boys,boy,plural,AZ,
Question 1521,advertized,advertised,typo,AZ,
Question 1523,neaty,neat,typo,AZ,
Question 1526,sakt,salt,typo,AZ,
Question 1526,auce,sauce,typo,AZ,
Question 1530,watermellon,watermelon,typo,AZ,
Question 1533,quinch,quench,typo,AZ,
Question 1535,choices,choice,plural,AZ,
Question 1535,solutions,solution,plural,AZ,
Question 1536,20,twenty,typo,AZ,
Question 1536,finfished,finished,typo,AZ,
Question 1538,weed,weeds,typo,AZ,
Question 1540,fiar,fair,typo,AZ,
Question 1540,carvinal,carnival,typo,AZ,
Question 1541,spots,spot,plural,AZ,
Question 1541,smudges,smudge,plural,AZ,
Question 1541,finger prints,fingerprints,typo,AZ,
Question 1541,fingerprint,fingerprints,plural,AZ,
Question 1541,dish,dishes,plural,AZ,
Question 1541,edge,edges,plural,AZ,
Question 1542,watermain,water main,typo,AZ,
Question 1542,watermaine,water main,typo,AZ,
Question 1542,levy,levee,typo,AZ,
Question 1542,levie,levee,typo,AZ,
Question 1542,damn,dam,typo,AZ,
Question 1545,"""""wait""""",wait,typo,AZ,
Question 1546,feather,feathers,plural,MH,
Question 1546,a feather,feathers,plural,MH,
Question 1546,mrashmellow,marshmallows,typo,MH,
Question 1551,sirens,siren,plural,MH,
Question 1551,noice,noise,typo,MH,
Question 1553,doubts ,doubt,plural,MH,
Question 1553,suspicions,suspicion,plural,MH,
Question 1554,animals,animal,plural,MH,
Question 1555,slid,slide,typo,MH,
Question 1555,bannister,banister,typo,MH,
Question 1556,bushes,bush,plural,MH,
Question 1556,shub,shrub,typo,MH,
Question 1556,shrubs,shrub,plural,MH,
Question 1557,unbrella,umbrella,typo,MH,
Question 1558,recipie,recipe,typo,MH,
Question 1558,suace,sauce,typo,MH,
Question 1558,receipe,recipe,typo,MH,
Question 1558,recipes,recipe,plural,MH,
Question 1560,mountains,mountain,plural,MH,
Question 1562,victimm,victim,typo,MH,
Question 1565,termors,tremors,typo,MH,
Question 1565,excitment,excitement,typo,MH,
Question 1565,parkinson's,parkinsons,typo,MH,
Question 1566,croud,crowd,typo,MH,
Question 1570,grinding,grind,tense,MH,
Question 1570,gnashing,gnash,tense,MH,
Question 1570,shattering,chatter ,typo,MH,
Question 1571,appearace,appearance,typo,MH,
Question 1571,looks,look,plural,MH,
Question 1571,clothes,clothing,plural,MH,
Question 1574,kithen,kitchen,typo,MH,
Question 1575,onion,onions,plural,MH,
Question 1577,vehichles,vehicles,typo,MH,
Question 1577,monuments,monument,plural,MH,
Question 1577,building ,buildlings,plural,MH,
Question 1577,stores,store,plural,MH,
Question 1579,authenicated,authentic,typo,MH,
Question 1579,origional,original,typo,MH,
Question 1579,fonished,finished,typo,MH,
Question 1581,woner,wonder,typo,MH,
Question 1583,dsiperse,disperse,typo,MH,
Question 1586,rath,wrath,typo,MH,
Question 1586,wrathpu,wrath,typo,MH,
Question 1586,powers,power,plural,MH,
Question 1586,wraith,wrath,typo,MH,
Question 1588,antennae,antenna,typo,MH,
Question 1589,pup,puppy,typo,MH,
Question 1590,couch,cough,typo,MH,
Question 1591,carribou,caribou,typo,MH,
Question 1592,sails,sail,plural,MH,
Question 1592,ropes,rope,plural,MH,
Question 1592,oars,oar,plural,MH,
Question 1593,pigq,pig,typo,MH,
Question 1593,pigs,pig,plural,MH,
Question 1594,life-jacket,life jacket,typo,MH,
Question 1594,lifejacket,life jacket,typo,MH,
Question 1596,yaht,yacht,typo,MH,
Question 1596,yatch,yacht,typo,MH,
Question 1596,yaght,yacht,typo,MH,
Question 1596,baot,boat,typo,MH,
Question 1597,fighting,fight,tense,MH,
Question 1599,sooth,soothe,typo,MH,
Question 1600,hills,hill,plural,MH,
Question 1600,trails,trail,plural,MH,
Question 1607,turn-off,turnoff,typo,MH,
Question 1611,cigarett,cigarette,typo,MH,
Question 1611,candles,candle,plural,MH,
Question 1612,mohter,mother,typo,MH,
Question 1613,apperance,appearance,typo,MH,
Question 1613,comment,comments,plural,MH,
Question 1613,manner,manners,plural,MH,
Question 1613,demand,demands,plural,MH,
Question 1616,hilbilly,hillbilly,typo,MH,
Question 1617,courts,court,plural,MH,
Question 1617,cops,cop,plural,MH,
Question 1617,tickets,ticket,plural,MH,
Question 1621,debts,debt,plural,MH,
Question 1621,dept,debt,typo,MH,
Question 1622,fus,fuss,typo,MH,
Question 1626,gir,girl,typo,MH,
Question 1630 ,breech,breach,typo,MH,
Question 1634,tare,tear,typo,BM,
Question 1636,wretch,retch,typo,BM,
Question 1642,bad mod,bad mood,typo,BM,
Question 1646,genes,gene,plural,BM,
Question 1646,diease,disease,typo,BM,
Question 1647,deack,deck,typo,BM,
Question 1649,soul mate,soulmate,typo,BM,
Question 1649,fiancee,fiance,typo,BM,
Question 1649,bestfriend,best friend,typo,BM,
Question 1649,best-friend,best friend,typo,BM,
Question 1651,tiip,tip,typo,BM,
Question 1653,playboy's,playboys,typo,BM,
Question 1653,condom,condoms,plural,BM,
Question 1655,conidtion,condition,typo,BM,
Question 1655,lession,lesion,typo,BM,
Question 1657,,,,,
